Parts,Description,Company,Product Number,Quantity for 1 rig,Price,Link
"Deep Red (655nm) LUXEON Rebel LED, Mounted on a 10mm Square CoolBase - 640 mW @ 700mA",High power LEDs & Accessories,Luxeon LED,SR-05-D0000,4,$8.89,https://www.luxeonstar.com/deep-red-10mm-square-coolbase-led-640mw
Blue (470nm) LUXEON Rebel LED; Mounted on a 10mm Square CoolBase - 70 lm @ 700mA,High power LEDs & Accessories,Luxeon LED,SR-05-B0040,4,$9.88,https://www.luxeonstar.com/blue-10mm-square-coolbase-led-70lm
Carclo 29.8° Frosted 10 mm Circular Beam Optic - Integrated Legs,High power LEDs & Accessories,Luxeon LED,10413,4,$2.00,https://www.luxeonstar.com/carclo-29.8-degree-10mm-frosted-optic
"Pre-Cut, Thermal Adhesive Tape for 10 mm Square LED Assemblies - (10 Piece Sheet)",High power LEDs & Accessories,Luxeon LED,LXT-R-10,1,$3.49,https://www.luxeonstar.com/pre-cut-thermal-tape-for-10mm-square-bases-10pcs
700mA Externally Dimmable AC Driver,High power LEDs & Accessories,Luxeon LED,3021-D-E-700,1,$15.34,https://www.luxeonstar.com/700ma-externally-dimmable-buckpuck-dc-driver
,,,,,,
"DC12V SMD3528-300-IR InfraRed 850nm, 940nm IR LED Strip Lighting, 60LEDs 4.8W Per Meter LED Tape",High power LEDs & Accessories,Ledlightsworld.com,5M-HK-8MM-F3528-850-30-NW-IR-12,1,$35.00,https://ledlightsworld.com/products/dc12v-smd3528-300-ir-infrared-850nm-940nm-single-chip-flexible-led-strips-60leds-4-8w-per-meter?_pos=1&_sid=033d6a42f&_ss=r&variant=17836968476762
,,,,,,
MCP4728 Digital to Analog Converter (DAC) Data Acquisition STEMMA QT Platform Evaluation Expansion Board,Circuit components,Digikey,1528-4470-ND,1,$7.50,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4470/11503312?s=N4IgTCBcDaIIYBM4DMBOBXAlgFwAQFsBjABwBYB2MADhAF0BfIA
METRO MINI ATMEGA328/CP2104,Circuit components,Digikey,1528-1374-ND,1,$14.50,https://www.digikey.com/en/products/detail/adafruit-industries-llc/2590/5629422
CONN 22-30AWG CRIMP TIN,Circuit components,Digikey,8500032,4,$0.14,https://www.digikey.com/en/products/detail/molex/0008500032/1634868
CONN HEADER VERT 3POS 2.54MM,Circuit components,Digikey,WM4201-ND,1,$0.27,https://www.digikey.com/en/products/detail/molex/0022232031/26669?utm_adgroup=Connectors%2C%20Interconnects&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_Supplier_Molex_0900_Co-op&utm_term=&utm_content=Connectors%2C%20Interconnects&gclid=Cj0KCQiAnsqdBhCGARIsAAyjYjRqW5LghPocHarZ_oUP-rXkgfxzMfR__51lrVZWDsc1ibDaKNWeieIaArm0EALw_wcB
CONN RCPT HSG 3POS 2.54MM,Circuit components,Digikey,WM2877-ND,1,$0.47,https://www.digikey.com/en/products/detail/molex/0050579503/2405424
CONN HEADER VERT 2POS 2.54MM,Circuit components,Digikey,900-0022232021-ND,1,$0.21,https://www.digikey.com/en/products/detail/molex/0022232021/26667?s=N4IgTCBcDaIJwAYEFolnQZjAsBGZAcgCIgC6AvkA
CONN RCPT HSG 2POS 2.54MM,Circuit components,Digikey,900-0022013027-ND,1,$0.16,https://www.digikey.com/en/products/detail/molex/0022013027/26431
HOOK-UP STRND 22AWG 30V RED FEET,Circuit components,Digikey,1175-10064-22-1-0500-004-1-TS-DS-ND,20,$0.77,https://www.digikey.com/en/products/detail/cnc-tech/10064-22-1-0500-004-1-TS/15851348
HOOK-UP STRND 22AWG 30V BLK FEET,Circuit components,Digikey,10064-22-1-0500-001-1-TS,20,$1.03,https://www.digikey.com/en/products/detail/cnc-tech/10064-22-1-0500-001-1-TS/15851314
MOSFET N-CH 40V 95A TO220AB,Circuit components,Digikey,IRF40B207-ND,1,$1.45,https://www.digikey.com/en/products/detail/infineon-technologies/IRF40B207/5233090?utm_adgroup=Semiconductor%20Modules&utm_source=google&utm_medium=cpc&utm_campaign=Dynamic%20Search_EN_Product&utm_term=&utm_content=Semiconductor%20Modules&gclid=Cj0KCQiAnsqdBhCGARIsAAyjYjRXW2RwVhcOX4k7DQoZn9hPExoeE4j4J8f3YtjAiWL6F0e-N-5gLgAaAtsKEALw_wcB
RES 10K OHM 5% 1/4W AXIAL,Circuit components,Digikey,CF14JT10K0CT-ND,1,$0.10,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT10K0/1741265
CONN HDR 6POS 0.1 GOLD PCB 6PC,Circuit components,Digikey,1988-1135-ND,1,$5.00,https://www.digikey.com/en/products/detail/schmartboard-inc/920-0085-01/9559414
CONN HDR 14POS 0.1 TIN PCB,Circuit components,Digikey,PPTC141LFBN-RC,2,$0.91,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPTC141LFBN-RC/810152
Arduino Circuit Board - Custom printed (I will bring some),,,,,,
,,,,,,
Breadboard-Friendly 2.1mm PCB Mounting Female DC Power Barrel Jack (Pack of 10),Circuit components,Amazon,4330119860,1,$9.99,https://www.amazon.com/gp/product/B074LK7G86/ref=ox_sc_act_title_1?smid=A2E7YALNIES9BY&psc=1
ALITOVE DC 12V 5A Power Supply Adapter Converter Transformer AC 100-240V input with 5.5x2.5mm DC Output Jack for 5050 3528 LED Strip Module Light,Circuit components,Amazon,B01GEA8PQA,1,$12.89,https://www.amazon.com/ALITOVE-Adapter-Converter-100-240V-5-5x2-1mm/dp/B01GEA8PQA
ELP Sony IMX323 Sensor Mini USB Camera Module (2.8-12mm Lens),Camera & accessories,Amazon,B071XSLSXB,1,$63.99,https://www.amazon.com/ELP-IMX322-Sensor-Camera-Module/dp/B071XSLSXB?th=1
"Amazon Basics USB 2.0 A-Male to Micro B Cable (3 Pack), 3 feet,",Camera & accessories,Amazon,B072J1BSV6,1,$7.96,https://www.amazon.com/AmazonBasics-Male-Micro-Cable-Black/dp/B072J1BSV6/ref=sr_1_16?keywords=mini%2Busb%2Busb%2Bcable&qid=1672768314&sr=8-16&th=1
Amazon Basics USB 2.0 Extension Cable - A-Male to A-Female Adapter Cord - 3.3 Feet (1 Meters),Camera & accessories,Amazon,B00NH11R3I,1,$3.89,https://www.amazon.com/AmazonBasics-Extension-Cable-Male-Female/dp/B00NH11R3I?th=1
"Infrared Polyester Filter (3x3"")",,B&H Photo,87CP3,1,$16.00,https://www.bhphotovideo.com/c/product/292664-REG/LEE_Filters_87CP3_3_x_3_Infrared.html
,,,,,,
Wire Cutters Zip Tie Cutters Micro Flush Cutter 2 Pack 5 Inch Precision Wire Clippers,Electronics supplies,Amazon,‎43398-5857,1,$7.89,https://www.amazon.com/gp/product/B07FPBMQRZ/ref=ox_sc_act_title_1?smid=A3KZTX4VN6ZQ3J&psc=1
"Soldering Iron Kit, 80W 110V",Electronics supplies,Amazon,B08PZBPXLZ,1,$11.98,https://www.amazon.com/Liouhoum-Auto-Sleep-Adjustable-Temperature-Thermostatic/dp/B08PZBPXLZ/ref=sr_1_21?keywords=soldering+iron&qid=1672768014&refinements=p_85%3A2470955011%2Cp_72%3A1248909011&rnid=1248907011&rps=1&s=hi&sprefix=solder%2Caps%2C102&sr=1-21
WG-015 Professional 8-inch Wire Stripper,Electronics supplies,Amazon,B073YG65N2,1,$7.59,https://www.amazon.com/WGGE-Professional-crimping-Multi-Tool-Multi-Function/dp/B073YG65N2/ref=sr_1_9?crid=2N6VFFWNVL415&keywords=wire+stripper&qid=1672768204&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&s=hi&sprefix=wire+str%2Ctools%2C124&sr=1-9
Adjustable Helping Hand with Magnifying Glass,Electronics supplies,Amazon,B000P42O3C,1,$8.49,https://www.amazon.com/gp/product/B000P42O3C/ref=ox_sc_act_title_2?smid=ATVPDKIKX0DER&psc=1
,,,,,,
"1/8"" acrylic 12x12"" sheet",Photostimulation rig,McMaster-Carr,8560K191,2,$8.46,https://www.mcmaster.com/acrylic/clear-scratch-and-uv-resistant-cast-acrylic-sheets-bars-and-cubes/thickness~1-8/length~12/width~12/performance-properties~clear/
"1/8"" white delrin 12x12"" sheet",Photostimulation rig,McMaster-Carr,8573K13,1,$23.07,https://www.mcmaster.com/acetal/wear-resistant-easy-to-machine-delrin-acetal-resin-sheets-bars-and-strips/thickness~1-8/width~12/length~12/
"1/4"" wood project board (24x24"")",Photostimulation rig,Harware store,,4,,
"(optional) 1/4"" acrylic or white delrin for rig structure",Photostimulation rig,,,,,